stem_hi1.aif,stem_hi2.aif,stem_mid.aif,stem_low1.aif,stem_low2.aif
0.000,0.008,0.000,0.000,0.000
0.000,0.013,0.000,0.000,0.000
0.000,0.014,0.000,0.000,0.000
0.000,0.037,0.000,0.000,0.000
0.000,0.021,0.000,0.000,0.000
0.000,0.017,0.000,0.000,0.000
0.000,0.018,0.000,0.000,0.000
0.000,0.018,0.000,0.000,0.000
0.000,0.015,0.000,0.000,0.000
0.000,0.026,0.000,0.000,0.000
0.000,0.023,0.000,0.000,0.000
0.000,0.023,0.000,0.000,0.000
0.000,0.013,0.000,0.000,0.000
0.000,0.014,0.000,0.000,0.000
0.000,0.012,0.000,0.000,0.000
0.000,0.015,0.000,0.000,0.000
0.000,0.023,0.000,0.000,0.000
0.000,0.016,0.000,0.000,0.000
0.000,0.020,0.000,0.000,0.000
0.000,0.020,0.000,0.000,0.000
0.000,0.018,0.000,0.000,0.000
0.000,0.018,0.000,0.000,0.000
0.000,0.019,0.000,0.000,0.000
0.000,0.018,0.000,0.000,0.000
0.000,0.021,0.000,0.000,0.000
0.000,0.022,0.000,0.000,0.000
0.000,0.027,0.000,0.000,0.000
0.000,0.021,0.000,0.000,0.000
0.000,0.021,0.000,0.000,0.000
0.000,0.028,0.000,0.000,0.000
0.000,0.026,0.000,0.000,0.000
0.000,0.022,0.000,0.000,0.000
0.000,0.020,0.000,0.000,0.000
0.000,0.021,0.000,0.000,0.000
0.000,0.025,0.000,0.000,0.000
0.000,0.027,0.000,0.000,0.000
0.000,0.016,0.000,0.000,0.000
0.000,0.016,0.000,0.000,0.000
0.000,0.016,0.000,0.000,0.000
0.000,0.013,0.000,0.000,0.000
0.000,0.021,0.000,0.000,0.000
0.000,0.016,0.000,0.000,0.000
0.000,0.017,0.000,0.000,0.000
0.000,0.021,0.000,0.000,0.000
0.000,0.017,0.000,0.000,0.000
0.000,0.014,0.000,0.000,0.000
0.000,0.012,0.000,0.000,0.000
0.000,0.014,0.000,0.000,0.000
0.000,0.023,0.000,0.000,0.000
0.000,0.016,0.000,0.000,0.000
0.000,0.018,0.000,0.000,0.000
0.000,0.023,0.000,0.000,0.000
0.000,0.018,0.000,0.000,0.000
0.000,0.019,0.000,0.000,0.000
0.000,0.015,0.000,0.000,0.000
0.000,0.018,0.000,0.000,0.000
0.000,0.014,0.000,0.000,0.000
0.000,0.015,0.000,0.000,0.000
0.000,0.015,0.000,0.000,0.000
0.000,0.019,0.000,0.000,0.000
0.000,0.023,0.000,0.000,0.000
0.000,0.014,0.000,0.000,0.000
0.000,0.015,0.000,0.000,0.000
0.000,0.015,0.000,0.000,0.000
0.000,0.018,0.000,0.000,0.000
0.000,0.016,0.000,0.000,0.000
0.000,0.014,0.000,0.000,0.000
0.000,0.017,0.000,0.000,0.000
0.000,0.020,0.000,0.000,0.000
0.000,0.017,0.000,0.000,0.000
0.000,0.027,0.000,0.000,0.000
0.000,0.022,0.000,0.000,0.000
0.000,0.018,0.000,0.000,0.000
0.000,0.019,0.000,0.000,0.000
0.000,0.018,0.000,0.000,0.000
0.000,0.018,0.000,0.000,0.000
0.000,0.034,0.000,0.000,0.000
0.000,0.110,0.000,0.000,0.000
0.000,0.024,0.000,0.000,0.000
0.000,0.017,0.000,0.000,0.000
0.000,0.026,0.000,0.000,0.000
0.000,0.015,0.000,0.000,0.000
0.000,0.024,0.000,0.000,0.000
0.000,0.018,0.000,0.000,0.000
0.000,0.018,0.000,0.000,0.000
0.000,0.019,0.000,0.000,0.000
0.000,0.019,0.000,0.000,0.000
0.000,0.019,0.000,0.000,0.000
0.000,0.024,0.000,0.000,0.000
0.000,0.019,0.000,0.000,0.000
0.000,0.014,0.000,0.000,0.000
0.000,0.018,0.000,0.000,0.000
0.000,0.018,0.000,0.000,0.000
0.000,0.022,0.000,0.000,0.000
0.000,0.021,0.000,0.000,0.000
0.000,0.030,0.000,0.000,0.000
0.000,0.021,0.000,0.000,0.000
0.000,0.019,0.000,0.000,0.000
0.000,0.024,0.000,0.000,0.000
0.000,0.017,0.000,0.000,0.000
0.000,0.024,0.000,0.000,0.000
0.000,0.020,0.000,0.000,0.000
0.000,0.020,0.000,0.000,0.000
0.000,0.018,0.000,0.000,0.000
0.000,0.022,0.000,0.000,0.000
0.000,0.020,0.000,0.000,0.000
0.000,0.020,0.000,0.000,0.000
0.000,0.025,0.000,0.000,0.000
0.000,0.020,0.000,0.000,0.000
0.000,0.028,0.000,0.000,0.000
0.000,0.021,0.000,0.000,0.000
0.000,0.025,0.000,0.000,0.000
0.000,0.025,0.000,0.000,0.000
0.000,0.018,0.000,0.000,0.000
0.000,0.022,0.000,0.000,0.000
0.000,0.020,0.000,0.000,0.000
0.000,0.020,0.000,0.000,0.000
0.000,0.018,0.000,0.000,0.000
0.000,0.023,0.000,0.000,0.000
0.000,0.021,0.000,0.000,0.000
0.000,0.024,0.000,0.000,0.000
0.000,0.021,0.000,0.000,0.000
0.000,0.018,0.000,0.000,0.000
0.000,0.020,0.000,0.000,0.000
0.000,0.048,0.000,0.000,0.000
0.000,0.049,0.000,0.000,0.000
0.000,0.030,0.000,0.000,0.000
0.000,0.028,0.000,0.000,0.000
0.000,0.030,0.000,0.000,0.000
0.000,0.018,0.000,0.000,0.000
0.000,0.022,0.000,0.000,0.000
0.000,0.026,0.000,0.000,0.000
0.000,0.025,0.000,0.000,0.000
0.000,0.023,0.000,0.000,0.000
0.000,0.020,0.000,0.000,0.000
0.000,0.018,0.000,0.000,0.000
0.000,0.022,0.000,0.000,0.000
0.000,0.022,0.000,0.000,0.000
0.000,0.027,0.000,0.000,0.000
0.000,0.021,0.000,0.000,0.000
0.000,0.022,0.000,0.000,0.000
0.000,0.020,0.000,0.000,0.000
0.000,0.025,0.000,0.000,0.000
0.000,0.019,0.000,0.000,0.000
0.000,0.021,0.000,0.000,0.000
0.000,0.017,0.000,0.000,0.000
0.000,0.015,0.000,0.000,0.000
0.000,0.017,0.000,0.000,0.000
0.000,0.023,0.000,0.000,0.000
0.000,0.014,0.000,0.000,0.000
0.000,0.019,0.000,0.000,0.000
0.000,0.022,0.000,0.000,0.000
0.000,0.018,0.000,0.000,0.000
0.000,0.019,0.000,0.000,0.000
0.000,0.021,0.000,0.000,0.000
0.000,0.019,0.000,0.000,0.000
